"New Application Form for Direct Recruitment, Assam",https://services.india.gov.in/service/service_url_redirect?id=MjQxNTk=,"
                                                        
                              Informational                                                  ","Get services for Direct Recruitment (DR) (New Form), Assam",https://services.india.gov.in/service/detail/new-application-form-for-direct-recruitment-assam
"Unemployment Allowance Scheme, Chhattisgarh",https://services.india.gov.in/service/service_url_redirect?id=MjQwMTI=,"
                                                        
                              Fully Online                                                  ","Eligibility for Chhattisgarh Unemployment Allowance / (CG Berojgari Bhatta Eligibility) – Under this scheme, unemployment allowance will be given to the eligible educated youth for one year first.",https://services.india.gov.in/service/detail/unemployment-allowance-scheme-chhattisgarh
"Issue of Skilled Worker Certificate Application Form, Andhra Pradesh",https://services.india.gov.in/service/service_url_redirect?id=MjM5ODU=,"
                                                        
                              Informational                                                  ","Get service for Issue of Skilled Worker Certificate Application Form, Andhra Pradesh",https://services.india.gov.in/service/detail/issue-of-skilled-worker-certificate-application-form-andhra-pradesh
"Registration of Shop Details Application Form, Andhra Pradesh",https://services.india.gov.in/service/service_url_redirect?id=MjM5Nzk=,"
                                                        
                              Informational                                                  ","Get services for Registration of Shop Details Application Form, Andhra Pradesh",https://services.india.gov.in/service/detail/registration-of-shop-details-application-form-andhra-pradesh
"Registration for Unorganised Worker /Transport Driver Application Form, Andhra Pradesh",https://services.india.gov.in/service/service_url_redirect?id=MjM5Nzg=,"
                                                        
                              Informational                                                  ","Get services Registration for Unorganised Worker /Transport Driver Application Form, Andhra Pradesh",https://services.india.gov.in/service/detail/registration-for-unorganised-worker-transport-driver-application-form-andhra-pradesh
"Application for Integrated Application Registration of Establishment under Labour Laws, Andhra Pradesh",https://services.india.gov.in/service/service_url_redirect?id=MjM5Nzc=,"
                                                        
                              Informational                                                  ","Get services Application for Integrated Application Registration of Establishment under Labour Laws, Andhra Pradesh",https://services.india.gov.in/service/detail/application-for-integrated-application-registration-of-establishment-under-labour-laws-andhra-pradesh
Online Registration for all recruitment through PPSC in Punjab,https://services.india.gov.in/service/service_url_redirect?id=MTk4MTQ=,"
                                                        
                              Fully Online                                                  ",Punjab public service commission provides facility to Candidates to register the application online through PPSC portal,https://services.india.gov.in/service/detail/online-registration-for-all-recruitment-through-ppsc-in-punjab
Updation of the applications submitted by the candidate in Punjab,https://services.india.gov.in/service/service_url_redirect?id=MTk4MTU=,"
                                                        
                              Fully Online                                                  ",Punjab public service commission provides facility to Candidates where can candidate can edit their application online through PPSC portal,https://services.india.gov.in/service/detail/updation-of-the-applications-submitted-by-the-candidate-in-punjab-1
Download Admit card in Punjab,https://services.india.gov.in/service/service_url_redirect?id=MTk4MTY=,"
                                                        
                              Fully Online                                                  ",Punjab public service commission provides facility to Candidates to download the admit card online through PPSC portal,https://services.india.gov.in/service/detail/download-admit-card-in-punjab-1
Check your result in Punjab,https://services.india.gov.in/service/service_url_redirect?id=MTk4MTc=,"
                                                        
                              Fully Online                                                  ",Punjab public service commission provides facility to Candidates to check their recruitment result online through PPSC portal,https://services.india.gov.in/service/detail/check-your-result-in-punjab-1
Answer key objections in Punjab,https://services.india.gov.in/service/service_url_redirect?id=MTk4MTg=,"
                                                        
                              Fully Online                                                  ",Punjab public service commission provides facility for candidates to file the objection for any specific answer key published on the portal,https://services.india.gov.in/service/detail/answer-key-objections-in-punjab-1
Announcement Related to the Advertisement in Punjab,https://services.india.gov.in/service/service_url_redirect?id=MTk4MTk=,"
                                                        
                              Fully Online                                                  ",Punjab public service commission provides facility for candidates can see/check the announcements related to the advertisement/results,https://services.india.gov.in/service/detail/announcement-related-to-the-advertisement-in-punjab
Director of Treasuries and Accounts,https://services.india.gov.in/service/service_url_redirect?id=MTY1Mzc=,"
                                                        
                              Informational                                                  ","To strengthen governance through excellence in public financial management and accounting procedures like District Treasuries, Pension Payement, Accounts Branches in HoD's",https://services.india.gov.in/service/detail/director-of-treasuries-and-accounts-1
State Employment Mission by Directorate of Employment of Odisha,https://services.india.gov.in/service/service_url_redirect?id=MTYwMA==,"
                                                        
                              Fully Online                                                  ",State Employment Mission by Directorate of Employment of Odisha is a placement linked training program for youth. Job seekers can register for training and jobs and check their registration status. Training provider can also register and check their registration status online. Information about courses offered for training and list of training providers is also available.,https://services.india.gov.in/service/detail/state-employment-mission-by-directorate-of-employment-of-odisha
Online registration form for job seekers in Odisha,https://services.india.gov.in/service/service_url_redirect?id=MTYwMQ==,"
                                                        
                              Fully Online                                                  ","Job seekers can register online with State Employment Mission by Directorate of Employment of Odisha for a placement linked training program. Job seekers can register with State Employment Mission by providing details such as personal details, address, choice of training, photograph, etc.",https://services.india.gov.in/service/detail/online-registration-form-for-job-seekers-in-odisha
Haryana: Know Payee Code,https://services.india.gov.in/service/service_url_redirect?id=NTk2NQ==,"
                                                        
                              Fully Online                                                  ","Payee code can be known by providing Payee Name,PAN,Account Number,GPF Number and PRAN",https://services.india.gov.in/service/detail/haryana-know-payee-code-1
Haryana: Login to Penisoners,https://services.india.gov.in/service/service_url_redirect?id=NjQ3Ng==,"
                                                        
                              Fully Online                                                  ",This is used by Pensioners to view their Pension slips,https://services.india.gov.in/service/detail/haryana-login-to-penisoners-1
MGNREGS - Job Card Payment Details in Andhra Pradesh,https://services.india.gov.in/service/service_url_redirect?id=MjAwODU=,"
                                                        
                              Fully Online                                                  ",MGNREGS - Job Card Payment Details in Andhra Pradesh. Grama Ward Sachivalayam is a system of village and ward secretariats. About 500 services related to 35 government departments are available in village and ward secretariats.,https://services.india.gov.in/service/detail/mgnregs-job-card-payment-details-in-andhra-pradesh
"Gatidhara Scheme by Bangla Sahayata Kendra, West Bengal",https://services.india.gov.in/service/service_url_redirect?id=MjM5NDc=,"
                                                        
                              Fully Online                                                  ",Gatidhara is a scheme administered by Transport Department for employment of registered unemployed youth of the State in transport sector,https://services.india.gov.in/service/detail/gatidhara-scheme-by-bangla-sahayata-kendra-west-bengal
"Yuvashree Scheme by Bangla Sahayata Kendra, West Bengal",https://services.india.gov.in/service/service_url_redirect?id=MjM5NDE=,"
                                                        
                              Fully Online                                                  ",Yuvashree is a financial assistance scheme for the unemployed youth of West Bengal. The aim is to provide employment assistance to the unemployed youths of West Bengal for increasing their employment ability and skill.,https://services.india.gov.in/service/detail/yuvashree-scheme-by-bangla-sahayata-kendra-west-bengal
"Online Job Application System, Gujarat",https://services.india.gov.in/service/service_url_redirect?id=MTgxODY=,"
                                                        
                              Fully Online                                                  ",Online Job Application System &#40;OJAS&#41; is an initiative by the Gujarat government to facilitate Job seeking process. It allows candidates to register and apply for jobs online.,https://services.india.gov.in/service/detail/online-job-application-system-gujarat
"National Career Service, Ministry of Labour & Employment",https://services.india.gov.in/service/service_url_redirect?id=MTgyMDc=,"
                                                        
                              Fully Online                                                  ",National Career Service (NCS) is a one-stop solution that provides a wide array of employment and career related services to the citizens of India. It works towards bridging the gap between candidates and employers; candidates seeking training and career guidance and agencies providing training and career counseling.,https://services.india.gov.in/service/detail/national-career-service-ministry-of-labour-and-employment-1
"Revised plan Approval Application Form for Factories, Andhra Pradesh",https://services.india.gov.in/service/service_url_redirect?id=MjM4NzU=,"
                                                        
                              Informational                                                  ","Get service for Revised plan Approval Application Form, Andhra Pradesh",https://services.india.gov.in/service/detail/revised-plan-approval-application-form-for-factories-andhra-pradesh
"Change Occupier Application Form, Andhra Pradesh",https://services.india.gov.in/service/service_url_redirect?id=MjM4NzM=,"
                                                        
                              Informational                                                  ","Get service for Change Occupier Application Form, Andhra Pradesh",https://services.india.gov.in/service/detail/change-occupier-application-form-andhra-pradesh
"Change Manager Application Form, Andhra Pradesh",https://services.india.gov.in/service/service_url_redirect?id=MjM4NzE=,"
                                                        
                              Informational                                                  ","Get service for Change Manager Application Form, Andhra Pradesh",https://services.india.gov.in/service/detail/change-manager-application-form-andhra-pradesh
"Change in Manpower Horse power Application Form, Andhra Pradesh",https://services.india.gov.in/service/service_url_redirect?id=MjM4Njk=,"
                                                        
                              Informational                                                  ","Get service for Change in Manpower Horse power Application Form, Andhra Pradesh",https://services.india.gov.in/service/detail/change-in-manpower-horse-power-application-form-andhra-pradesh
"Andhra Pradesh,Public Service Commission",https://services.india.gov.in/service/service_url_redirect?id=OTEzOA==,"
                                                        
                              Fully Online                                                  ","The A.P. Public Service Commission came in to existence on 1st November, 1956 with the formation of the State of Andhra Pradesh. Citizen can view the Hall Tickets & Recruitment Notifications which was released by government of Andhra Pradesh. if applied, Citizen can view & Download the hall Ticket through Online Portal.",https://services.india.gov.in/service/detail/andhra-pradeshpublic-service-commission-1
"Trainee, VTP, Assessor and Employer registration in Chhattisgarh",https://services.india.gov.in/service/service_url_redirect?id=MjkyOA==,"
                                                        
                              Fully Online                                                  ",Detailed information is given on how to register with the Chhattisgarh State Skill Development Authority portal. Users can find details related to process of registration and benefits of registration with the Chhattisgarh State Skill Development Authority portal.,https://services.india.gov.in/service/detail/trainee-vtp-assessor-and-employer-registration-in-chhattisgarh
Login Maharashtra Public Service Commission - MPSC,https://services.india.gov.in/service/service_url_redirect?id=MTg3NDg=,"
                                                        
                              Fully Online                                                  ",Maharashtra Public Service Commission (MPSC) enables online registration for candidates so that they may log in to process their candidature,https://services.india.gov.in/service/detail/login-maharashtra-public-service-commission-mpsc
"Application for issuance of new license to the contractor under the Contract Labour Act, 1970, Karnataka",https://services.india.gov.in/service/service_url_redirect?id=MTc1Mzk=,"
                                                        
                              Fully Online                                                  ","Application for license under the Contract Labour Act (1970), which is required by every establishment employing 20 or more workmen",https://services.india.gov.in/service/detail/application-for-issuance-of-new-license-to-the-contractor-under-the-contract-labour-act-1970-karnataka-1
"Application for Registration for Unemployment Allowance, Haryana",https://services.india.gov.in/service/service_url_redirect?id=MTc2MzU=,"
                                                        
                              Fully Online                                                  ","Application for Registration for Unemployment Allowance, Haryana",https://services.india.gov.in/service/detail/application-for-registration-for-unemployment-allowance-haryana-1
Results and Notifications of Examinations of TRB,https://services.india.gov.in/service/service_url_redirect?id=MjE5MDk=,"
                                                        
                              Informational                                                  ",Results and Notifications of Examinations of TRB,https://services.india.gov.in/service/detail/results-and-notifications-of-examinations-of-trb
Telangana Academy for Skill & Knowledge - Login Services,https://services.india.gov.in/service/service_url_redirect?id=MTU5OTM=,"
                                                        
                              Fully Online                                                  ","This link enables the students and colleges that are registered with TASK to make use of its online services, by logging in.",https://services.india.gov.in/service/detail/telangana-academy-for-skill-and-knowledge-login-services
Online employee results,https://services.india.gov.in/service/service_url_redirect?id=Mzk4MQ==,"
                                                        
                              Informational                                                  ",The test results of various examinations conducted by the Staff Selection Commission to obtain a list of available information. Username and roll number can be given to obtain result.,https://services.india.gov.in/service/detail/online-employee-results
"Chief Minister Employment Generation Programme, Maharashtra",https://services.india.gov.in/service/service_url_redirect?id=MjM3OTQ=,"
                                                        
                              Fully Online                                                  ","Get service for Chief Minister Employment Generation Programme, Maharashtra",https://services.india.gov.in/service/detail/chief-minister-employment-generation-programme-maharashtra
Chhattisgarh: Co-operation,https://services.india.gov.in/service/service_url_redirect?id=MTIwNzk=,"
                                                        
                             Partially Online                                                  ",Check and get information about Chhattisgarh Co-operation department.,https://services.india.gov.in/service/detail/chhattisgarh-co-operation-1
Telangana Academy for Skill & Knowledge (TASK) - Information,https://services.india.gov.in/service/service_url_redirect?id=MTU5OTE=,"
                                                        
                             Partially Online                                                  ","This link provides information about the programmes offered by TASK. This is an organization which acts like a platform that connects the Government, Academia and Industry to enhance employability quotient of youth in the state. It aims at equiping the students with Personal Impact Skills, Organization Impact Skills and Technical Skills.",https://services.india.gov.in/service/detail/telangana-academy-for-skill-and-knowledge-task-information
Check claim status of Employees Provident Fund of Chennai and Puducherry Region,https://services.india.gov.in/service/service_url_redirect?id=NzY=,"
                                                        
                              Fully Online                                                  ","Check the claim status of Employees Provident Fund of Chennai and Puducherry Region. Users can check the status by providing details such as EPF office, establishment code and employee number to get the claim status. Search option for establishment code is also available.",https://services.india.gov.in/service/detail/check-claim-status-of-employees-provident-fund-of-chennai-and-puducherry-region-1
"Recruitment to The Post of GETs, Odisha",https://services.india.gov.in/service/service_url_redirect?id=MjM3ODE=,"
                                                        
                              Fully Online                                                  ",Get service for Recruitment to The Post of GETs by Odisha Hydro Power Corporation.,https://services.india.gov.in/service/detail/recruitment-to-the-post-of-gets-odisha
"Application for Plantation Labour Registration, Karnataka",https://services.india.gov.in/service/service_url_redirect?id=MTkwNzk=,"
                                                        
                              Fully Online                                                  ","This service helps to procure the Application for Plantation Labour Registration, Karnataka",https://services.india.gov.in/service/detail/application-for-plantation-labour-registration-karnataka
"Apply for Employment and Training Services, Karnataka",https://services.india.gov.in/service/service_url_redirect?id=MTkwOTA=,"
                                                        
                              Fully Online                                                  ","Get service for Employment and Training Services, Karnataka",https://services.india.gov.in/service/detail/apply-for-employment-and-training-services-karnataka
"Apply for Government Assisted Financial Services, Karnataka",https://services.india.gov.in/service/service_url_redirect?id=MTkwOTI=,"
                                                        
                              Fully Online                                                  ","Get Services for Government Assisted Financial , Karnataka",https://services.india.gov.in/service/detail/apply-for-government-assisted-financial-services-karnataka
"Employment Exchange Modification, Telangana",https://services.india.gov.in/service/service_url_redirect?id=OTYxOA==,"
                                                        
                              Informational                                                  ",This service helps a citizen when they would like to add some more details in the employment department.,https://services.india.gov.in/service/detail/employment-exchange-modification-telangana-1
"Registration of Independent Individual Worker and Registration of Worker by Principal Employer/ Service Provider/ Sub Service Provider/ Owner of Establishment, Sikkim",https://services.india.gov.in/service/service_url_redirect?id=MjM3NDU=,"
                                                        
                              Fully Online                                                  ",Get service for Registration of Independent Individual Worker and Registration of Worker by Principal Employer/ Service Provider/ Sub Service Provider/ Owner of Establishment by  Labour Department by  Labour Department,https://services.india.gov.in/service/detail/registration-of-independent-individual-worker-and-registration-of-worker-by-principal-employer-service-provider-sub-service-provider-owner-of-establishment-sikkim
"Renewal of Independent Individual Worker and Registration of Worker by Principal Employer/ Service Provider/ Sub Service Provider/ Owner of Establishment, Sikkim",https://services.india.gov.in/service/service_url_redirect?id=MjM3NDQ=,"
                                                        
                              Fully Online                                                  ","Get service for Renewal of Independent Individual Worker and Registration of Worker by Principal Employer/ Service Provider/ Sub Service Provider/Owner of Establishment, Sikkim by Labour Department",https://services.india.gov.in/service/detail/renewal-of-independent-individual-worker-and-registration-of-worker-by-principal-employer-service-provider-sub-service-provider-owner-of-establishment-sikkim
"Register online with Department of Employment, Govt.of Jammu and Kashmir",https://services.india.gov.in/service/service_url_redirect?id=NTEyMg==,"
                                                        
                              Fully Online                                                  ","Users can register online with Department of Employment, Govt.of Jammu and Kashmir",https://services.india.gov.in/service/detail/register-online-with-department-of-employment-govtof-jammu-and-kashmir-1
MSME SAMPARK Online Placement Portal,https://services.india.gov.in/service/service_url_redirect?id=MjM1ODc=,"
                                                        
                              Fully Online                                                  ","MSME SAMPARK is online Placement Portal for MSME Technology Centre Trainees, helping employers to post job openings, & facilitating candidates to apply online for the available openings, in effect ensuring smooth process of hiring right until the interview process",https://services.india.gov.in/service/detail/msme-sampark-online-placement-portal
"Registration Form For Government Employee, Haryana",https://services.india.gov.in/service/service_url_redirect?id=MTkxMDI=,"
                                                        
                              Fully Online                                                  ","Apply for Registration Form For Government Employee, Haryana",https://services.india.gov.in/service/detail/registration-form-for-government-employee-haryana
Online registration for job seekers in Tamil Nadu,https://services.india.gov.in/service/service_url_redirect?id=MTM4Ng==,"
                                                        
                              Fully Online                                                  ","Online registration for job seekers by Department of Employment and Training of Tamil Nadu is given. Users can register for assistance on employment opportunities by filling an online form. You can renew and update your profile by logging to the portal. Access to employment exchange code list, forms and cut-off Seniority dates adopted for nomination in employment offices is available.",https://services.india.gov.in/service/detail/online-registration-for-job-seekers-in-tamil-nadu-1
"Application for Public Service Examination, Nagaland",https://services.india.gov.in/service/service_url_redirect?id=ODcxMw==,"
                                                        
                              Fully Online                                                  ","""Nagaland Public Service Commission: Application for NCS, NPS, NSS and Allied Services Examination """,https://services.india.gov.in/service/detail/application-for-public-service-examination-nagaland-1
"On-line Employment Registration, Puducherry",https://services.india.gov.in/service/service_url_redirect?id=NjM2Mw==,"
                                                        
                              Fully Online                                                  ",Residents of the Union Territory of Puducherry who have not registered their qualifications as of date can register on-line by  uploading their personal  and qualification details.,https://services.india.gov.in/service/detail/on-line-employment-registration-puducherry-1
"Apply for Registration for issuance of Ex-Servicemen Identity Card, Gujarat",https://services.india.gov.in/service/service_url_redirect?id=MjIyOTc=,"
                                                        
                              Fully Online                                                  ",This service is to apply for Registration for issuance of Ex-Servicemen Identity Card from Home Department. This is a G2C service. Applicants need not register to apply for this service. Individuals can apply for this service.,https://services.india.gov.in/service/detail/apply-for-registration-for-issuance-of-ex-servicemen-identity-card-gujarat
"Apply for Disability Assistance Registered Worker of HBOCWW Board, Haryana",https://services.india.gov.in/service/service_url_redirect?id=MTc4MDI=,"
                                                        
                              Fully Online                                                  ",This service is to apply for Disability Assistance Registered Worker of HBOCWW Board from Labour Department. This is a G2C service. Applicants need to register to apply for this service. Individuals can apply for this service.,https://services.india.gov.in/service/detail/apply-for-disability-assistance-registered-worker-of-hbocww-board-haryana
"Apply for Disability Scheme (Due to Accident or Other Reason), Haryana",https://services.india.gov.in/service/service_url_redirect?id=MTc4MDQ=,"
                                                        
                              Fully Online                                                  ",This service is to apply for Disability Scheme (Due to Accident or Other Reason) from Labour Department. This is a G2C service. Applicants need to register to apply for this service. Individuals can apply for this service.,https://services.india.gov.in/service/detail/apply-for-disability-scheme-due-to-accident-or-other-reason-haryana
"Apply for Disability Pension for Registered Worker of HBOCWW Board, Haryana",https://services.india.gov.in/service/service_url_redirect?id=MTc4MDU=,"
                                                        
                              Fully Online                                                  ",This service is to apply for Disability Pension for Registered Worker of HBOCWW Board from Labour Department. This is a G2C service. Applicants need to register to apply for this service. Individuals can apply for this service.,https://services.india.gov.in/service/detail/apply-for-disability-pension-for-registered-worker-of-hbocww-board-haryana
"Apply for Family Pension for Pensioner of HBOCWW Board, Haryana",https://services.india.gov.in/service/service_url_redirect?id=MTc4MDg=,"
                                                        
                              Fully Online                                                  ",This service is to apply for Family Pension for Pensioner of HBOCWW Board from Labour Department. This is a G2C service. Applicants need to register to apply for this service. Individuals can apply for this service.,https://services.india.gov.in/service/detail/apply-for-family-pension-for-pensioner-of-hbocww-board-haryana
"Calculate your Pension, Gratuity & DR",https://services.india.gov.in/service/service_url_redirect?id=MTg1Mjg=,"
                                                        
                              Fully Online                                                  ","Online calculator to calculate Pension, Gratuity, Dearness Relief (DR) for pre-2006 pensioners, post-2006 and post-2016 pensioners",https://services.india.gov.in/service/detail/calculate-your-pension-gratuity-and-dr-1
Check your 7th CPC Pension Revision Status,https://services.india.gov.in/service/service_url_redirect?id=MTg0MzI=,"
                                                        
                              Fully Online                                                  ",Central Pension Accounting Office  (CPAO) under the Ministry of Finance provides pensioners a 12 Digit PPO (Pension Payment Order) Number that can be used to check the status online,https://services.india.gov.in/service/detail/check-your-7th-cpc-pension-revision-status
Check results declared by Railway Recruitment Board of Bhopal,https://services.india.gov.in/service/service_url_redirect?id=Mzc=,"
                                                        
                              Fully Online                                                  ","Get online results of various examinations conducted by the Railway Recruitment Board of Bhopal. Access to information about the Board, selection procedures, employment notices, examination schedule, status of application, etc. is also given.",https://services.india.gov.in/service/detail/check-results-declared-by-railway-recruitment-board-of-bhopal-1
"Apply for Certificate of Registration to Work a Motor Transport Undertaking, Meghalaya",https://services.india.gov.in/service/service_url_redirect?id=MjI2NTc=,"
                                                        
                              Fully Online                                                  ",This service is to apply for Certificate of Registration to Work a Motor Transport Undertaking from Labour Department (STATE). This is a G2C service. Applicants need to register to apply for this service. Individuals can apply for this service.,https://services.india.gov.in/service/detail/apply-for-certificate-of-registration-to-work-a-motor-transport-undertaking-meghalaya
"Apply for Renewal of Registration under Motor Transport Workers Act 1961., Kerala",https://services.india.gov.in/service/service_url_redirect?id=MjMxMzI=,"
                                                        
                              Fully Online                                                  ","This service is to apply for Renewal of Registration under Motor Transport Workers Act 1961., Kerala",https://services.india.gov.in/service/detail/apply-for-renewal-of-registration-under-motor-transport-workers-act-1961-kerala-1
"Apply for Registration under Motor Transport Workers Act 1961., Kerala",https://services.india.gov.in/service/service_url_redirect?id=MjMxMzc=,"
                                                        
                              Fully Online                                                  ","This service is to apply for Registration under Motor Transport Workers Act 1961, Kerala",https://services.india.gov.in/service/detail/apply-for-registration-under-motor-transport-workers-act-1961-kerala-1
Filling of Annual Returns under various Labour Laws in Punjab,https://services.india.gov.in/service/service_url_redirect?id=MTgwOTM=,"
                                                        
                              Fully Online                                                  ","""How to avail the service 1. The industrialists of the Punjab needs to Register with e-Labour Punjab portal. 2. Fill Project Profile and generate a PIN (Project Identification No.). 3. Apply for required Service by filing Application Form (with reference to PIN). 4. Pay auto-calculated Fee using Debit Card/Credit Card/NEFT/Internet Banking. 5. The department will process submitted Application Form and issues QR Code Based Verifiable Approval. 6. Delivery Time: NA""",https://services.india.gov.in/service/detail/filling-of-annual-returns-under-various-labour-laws-in-punjab
Filing of Self Certification Schemes under various Labour Laws in Punjab,https://services.india.gov.in/service/service_url_redirect?id=MTgwOTQ=,"
                                                        
                              Fully Online                                                  ","""How to avail the service 1. The industrialists of the Punjab needs to Register with e-Labour Punjab portal. 2. Fill Project Profile and generate a PIN (Project Identification No.). 3. Apply for required Service by filing Application Form (with reference to PIN). 4. Pay auto-calculated Fee using Debit Card/Credit Card/NEFT/Internet Banking. 5. The department will process submitted Application Form and issues QR Code Based Verifiable Approval. 6. Delivery Time: NA""",https://services.india.gov.in/service/detail/filing-of-self-certification-schemes-under-various-labour-laws-in-punjab
